,b_iat_max,b_iat_mean,b_iat_min,b_iat_std,b_iat_total,b_pkt_len_max,b_pkt_len_mean,b_pkt_len_min,b_pkt_len_std,flow_ack,flow_cwr,flow_ece,flow_fin,bpkt_per_second,f_i_max,f_i_mean,f_i_std,f_i_min,f_i_total,f_pro,f_psh,f_rst,f_syn,f_urg,fpps,fo_i_max,fo_i_min,fo_i_mean,fo_i_std,fo_i_total,fo_pl_max,fo_pl_min,fo_pl_std,fo_pl_mean,fp_per_second,tb_p,t_bhlen,t_fhlen,tf_p,tl_bp,tl_fp,class
13125,-1.0,-1.0,99999.0,-1.0,0.0,-1.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.06904850524561185,0.04,0.02,0.02740000000000009,0.18424115354434173,17.0,0.0,0.0,0.0,0.0,5.0,0.06904850524561185,0.02740000000000009,0.02740000000000009,0.02,0.18424115354434173,60.0,60.0,0.0,60.0,5.0,0.0,135.0,0.0,5.0,0.0,300.0,0.0
13126,-1.0,-1.0,99999.0,-1.0,0.0,-1.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.001781999999998618,0.0,0.0,0.00033299999999769625,0.003600999999992638,17.0,0.0,0.0,0.0,0.0,5.0,0.001781999999998618,0.00033299999999769625,0.00033299999999769625,0.0,0.003600999999992638,77.0,77.0,0.0,77.0,5.0,0.0,135.0,0.0,5.0,0.0,385.0,0.0
13127,-1.0,-1.0,99999.0,-1.0,0.0,-1.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.9701841282675341,0.48,0.29,0.018949897558870277,21.005628790823195,17.0,0.0,0.0,0.0,0.0,44.0,0.9701841282675341,0.018949897558870277,0.018949897558870277,0.29,21.005628790823195,60.0,60.0,0.0,60.0,44.0,0.0,1188.0,0.0,44.0,0.0,2640.0,0.0
13128,-1.0,-1.0,99999.0,-1.0,0.0,-1.0,0.0,-1.0,-1.0,1.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,99999.0,0.0,6.0,1.0,0.0,0.0,0.0,1.0,-1.0,99999.0,99999.0,0.0,0.0,740.6445346090115,740.6445346090115,0.0,740.6445346090115,1.0,0.0,26.449420623671816,0.0,1.0,0.0,740.6445346090115,0.0
13129,0.9393260650319821,0.5178753512145291,0.001068864112348852,0.2971501404858116,73.42771340397572,66.0,66.0,66.0,0.0,464.4504214574349,0.0,0.0,0.0,139.51784419023852,0.9455652245312185,0.5570991570851301,0.28,0.003309200285956262,255.59663918891124,6.0,55.575070242905824,0.0,0.0,0.0,464.4504214574349,0.9320497358054614,0.003309200285956262,0.003309200285956262,0.2664249297570942,181.3553349362115,1456.5699719028378,96.0,408.8303080475144,1288.8928645370077,324.9325772671964,139.51784419023852,8773.179586214303,3766.98179313644,324.9325772671964,9208.177716555743,418686.6482145353,0.0
13130,0.33308800000000005,0.09,0.010953000000000657,0.12,1.411386999999996,1518.0,554.6,66.0,601.07,19.0,0.0,0.0,3.0,15.0,0.33617000000000097,0.1,0.11,0.0030820000000009173,2.0010720000000113,6.0,6.0,0.0,1.0,0.0,20.0,0.28148200000000045,0.08073599999999992,0.08073599999999992,0.09,0.5434550000000016,192.0,66.0,60.49,118.0,5.0,15.0,137.0,407.0,5.0,8319.0,590.0,0.0
13131,0.10087099999999793,0.07,0.022007999999999583,0.04,0.549239999999994,396.0,131.0,66.0,110.43,14.0,0.0,0.0,1.0,8.0,0.12337000000000131,0.06,0.05,1.0000000010279564e-06,0.8357320000000037,6.0,6.0,0.0,1.0,0.0,15.0,0.12337000000000131,2.9999999995311555e-06,2.9999999995311555e-06,0.05,0.2864840000000015,663.0,66.0,234.93,225.42857142857142,7.0,8.0,191.0,218.0,7.0,1048.0,1578.0,0.0
13132,-1.0,-1.0,99999.0,-1.0,0.0,-1.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,99999.0,0.0,17.0,0.0,0.0,0.0,0.0,1.0,-1.0,99999.0,99999.0,0.0,0.0,62.0,62.0,0.0,62.0,1.0,0.0,27.0,0.0,1.0,0.0,62.0,0.0
13133,-1.0,-1.0,99999.0,-1.0,0.0,-1.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,99999.0,0.0,6.0,0.0,0.0,1.0,0.0,1.0,-1.0,99999.0,99999.0,0.0,0.0,58.0,58.0,0.0,58.0,1.0,0.0,25.0,0.0,1.0,0.0,58.0,0.0
13134,0.9674621885129921,0.47857397329804663,0.0008621991087565321,0.2728579910993489,57.9095167366646,66.0,66.0,66.0,0.0,430.2881741881118,0.0,0.0,0.0,121.71360712052089,0.9711158102876845,0.48429589319218663,0.25143196439739557,0.0007152151405341703,208.6876751740043,6.0,70.57456706759088,0.0,0.0,0.0,430.2881741881118,0.9709579718909802,0.0020590425554480123,0.0020590425554480123,0.24428995549674445,150.5934827038819,1454.0,81.71598219869777,498.3513073317136,1202.7226511373367,308.57456706759086,121.71360712052089,8331.513310824954,3286.267392254064,308.57456706759086,8033.098069954379,370128.41227202286,0.0
13135,0.8859955652496737,0.44026090766241593,0.0025846717881557423,0.2697390923375841,87.71651544081581,1454.1043630649665,1163.1168691080509,96.0,510.1965226915604,324.0,0.0,0.0,0.0,200.15654459744957,0.8871916600642433,0.45078272298724786,0.2697390923375841,0.0009580272989147701,145.14622844414808,6.0,58.026090766241595,0.0,0.0,0.0,324.0,0.8794685598405392,0.0009580272989147701,0.0009580272989147701,0.27,57.20427189571071,69.89563693503362,66.0,0.5940846325926273,66.0942492806863,123.84345540255043,200.15654459744957,3343.7732958688616,5404.226704131138,123.84345540255043,232805.43518844404,8185.35496737343,0.0
13136,-1.0,0.0,99999.0,0.0,0.0,64.77704664526202,64.77704664526202,64.77704664526202,0.0,11.796174440877003,0.0,0.0,0.0,1.0,0.029247195670107157,0.0,0.008980872204385018,0.0002158915070268308,0.04227242739169153,6.0,1.898087220438502,0.0,0.0,0.0,11.796174440877003,0.0030663790540656046,0.0002158915070268308,0.0002158915070268308,0.0,0.01302523172158437,1514.0,642.1404747619466,331.0904037146053,1360.6107256469652,10.796174440877003,1.0,288.74506485551865,26.694261661315505,10.796174440877003,64.77704664526202,14674.250952059463,0.0
